begin	m_id	default	user
2016-01-01 13:45:56	name	Name	1
2016-01-01 13:45:56	disconnect	Disconnect	1
2016-01-01 13:45:56	parent	Generic(s)	1
2016-01-01 13:45:56	child	Specific(s)	1
2016-01-01 13:45:56	sibling	Sibling(s)	1
2016-01-01 13:45:56	abstract	Abstract	1
2016-01-01 13:45:56	currentbatch	Current batch	1
2016-01-01 13:45:56	errorbarcode	the following barcode is not attached to an item	1
2016-01-01 13:45:56	pouring	Pouring	1
2016-01-01 13:45:56	pouringmodel	Pouring Model	1
2016-01-01 13:45:56	transfermodel	Transfer Model	1
2016-01-01 13:45:56	production	Production	1
2016-01-01 13:45:56	exportdata	Export data	1
2016-01-01 13:45:56	people	People	1
2016-01-01 13:45:56	cancel	Cancel	1
2016-01-01 13:45:56	datatable	Data Table	1
2016-01-01 13:45:56	quantity	Quantity	1
2016-01-01 13:45:56	duplicate	Duplicate	1
2016-01-01 13:45:56	save	Save	1
2016-01-01 13:45:56	cost	Cost	1
2016-01-01 13:45:56	valuesensor	Values from sensor	1
2016-01-01 13:45:56	value	Value 	1
2016-01-01 13:45:56	specialvalue	Min Max Average 	1
2016-01-01 13:45:56	monitoring	Monitoring 	1
2016-01-01 13:45:56	time	Time	1
2016-01-01 13:45:56	rank	Rank	1
2016-01-01 13:45:56	componentmove	Component to move	1
2016-01-01 13:45:56	target	Target	1
2016-01-01 13:45:56	export	Export	1
2016-01-01 13:45:56	update	Update	1
2016-01-01 13:45:56	alarmlog	AlarmLog	1
2016-01-01 13:45:56	source	Source	1
2016-01-01 13:45:56	residualqt	Residual quantity	1
2016-01-01 13:45:56	selecttransfer	Select the object to transfer	1
2016-01-01 13:45:56	acronymrequired	Acronym is required !	1
2016-01-01 13:45:56	acronymunique	Acronym must be unique !	1
2016-01-01 13:45:56	acronymrules	Acronym can only contain letters, digits and _!	1
2016-01-01 13:45:56	barcoderules	Barcode must be an EAN 13!\nBarcode must be unique!	1
2016-01-01 13:45:56	floatrules	The value must be a number	1
2016-01-01 13:45:56	timerules	The time must be in this format year-month-day hour:minute:second 	1
2016-01-01 13:45:56	grouprules	A group can't be added to a parent, child or sibling	1
