begin	lang	e_id	name	user
09:54:46 - 23/02/17	FR	1	Ordinateur	1
09:54:46 - 23/02/17	EN	1	Computer	1
09:54:46 - 23/02/17	NL	1	computer	1
09:54:46 - 23/02/17	DE	1	computer	1
11:07:30  -  28/02/17	FR	1	Ordinateur	1
11:07:30  -  28/02/17	EN	1	Computer	1
11:07:30  -  28/02/17	NL	1	computer	1
11:07:30  -  28/02/17	DE	1	computer	1
11:49:53  -  28/02/17	FR	1	Ordinateur	1
11:49:53  -  28/02/17	EN	1	Computer	1
11:49:53  -  28/02/17	NL	1	computer	1
11:49:53  -  28/02/17	DE	1	computer	1
09:04:22  -  01/03/17	FR	2	IPhone 6	1
09:04:22  -  01/03/17	EN	2	IPhone 6	1
09:04:22  -  01/03/17	NL	2	IPhone 6	1
09:04:22  -  01/03/17	DE	2	IPhone 6	1
12:48:12  -  03/03/17	FR	2	IPhone 6	1
12:48:12  -  03/03/17	EN	2	IPhone 6	1
12:48:12  -  03/03/17	NL	2	IPhone 6	1
12:48:12  -  03/03/17	DE	2	IPhone 6	1
13:30:57  -  03/03/17	FR	1	Ordinateur	1
13:30:57  -  03/03/17	EN	1	Ordinateur	1
13:30:57  -  03/03/17	NL	1	Ordinateur	1
13:30:57  -  03/03/17	DE	1	Ordinateur	1
