begin	classname	glyphname	user
14:08:46  -  21/03/17	place	map-marker	1
14:08:46  -  21/03/17	equipment	screenshot	1
14:08:46  -  21/03/17	phase	download_all	1
14:08:46  -  21/03/17	container	shopping-cart	1
14:08:46  -  21/03/17	sensor	save	1
14:08:46  -  21/03/17	computer	hdd	1
14:08:46  -  21/03/17	measure	reflect-y	1
14:08:46  -  21/03/17	alarm	bell	1
14:08:46  -  21/03/17	recipe	sortable	1
14:08:46  -  21/03/17	recipeStep	option-vertical	1
14:08:46  -  21/03/17	batch	inbox	1
14:08:46  -  21/03/17	transfer	transfer	1
14:08:46  -  21/03/17	ToDo	flag	1
14:08:46  -  21/03/17	group	group	1
14:08:46  -  21/03/17	user	user	1
14:08:46  -  21/03/17	graphic	stats	1
14:08:46  -  21/03/17	edit	edit	1
14:08:46  -  21/03/17	info	info-sign	1
14:08:46  -  21/03/17	listing	folder-open	1
14:08:46  -  21/03/17	barcode	barcode	1
