begin	lang	m_id	name	user
2016-01-01 13:45:56	FR	name	Nom	1
2016-01-01 13:45:56	EN	name	Name	1
2016-01-01 13:45:56	NL	name	Naam	1
2016-01-01 13:45:56	DE	name	afang	1
2016-01-01 13:45:56	FR	begin	Début	1
2016-01-01 13:45:56	EN	begin	Begin	1
2016-01-01 13:45:56	NL	begin	Begin	1
2016-01-01 13:45:56	DE	begin	Afang	1
2016-01-01 13:45:56	FR	group	Groupe	1
2016-01-01 13:45:56	EN	group	Group	1
2016-01-01 13:45:56	NL	group	Groep	1
2016-01-01 13:45:56	DE	group	Gruppe	1
2016-01-01 13:45:56	FR	active	Actif	1
2016-01-01 13:45:56	EN	active	Active	1
2016-01-01 13:45:56	NL	active	Actief	1
2016-01-01 13:45:56	DE	active	Aktiv	1
2016-01-01 13:45:56	FR	acronym	Acronyme	1
2016-01-01 13:45:56	EN	acronym	Acronym	1
2016-01-01 13:45:56	NL	acronym	Acroniem	1
2016-01-01 13:45:56	DE	acronym	Akronym	1
2016-01-01 13:45:56	FR	barcode	Code Barre	1
2016-01-01 13:45:56	EN	barcode	Barcode	1
2016-01-01 13:45:56	NL	barcode	Streepjescode	1
2016-01-01 13:45:56	DE	barcode	Strichcode	1
2016-01-01 13:45:56	FR	remark	Remarque	1
2016-01-01 13:45:56	EN	remark	Remark	1
2016-01-01 13:45:56	NL	remark	Opmerking	1
2016-01-01 13:45:56	DE	remark	Bemerkung	1
2016-01-01 13:45:56	FR	welcome	Bienvenue	1
2016-01-01 13:45:56	EN	welcome	Welcome	1
2016-01-01 13:45:56	NL	welcome	Welcom	1
2016-01-01 13:45:56	DE	welcome	Willkomen	1
2016-01-01 13:45:56	FR	user	Utilisateur	1
2016-01-01 13:45:56	EN	user	User	1
2016-01-01 13:45:56	NL	user	Gebruiker	1
2016-01-01 13:45:56	DE	user	Benutzer	1
2016-01-01 13:45:56	FR	file	Fichier	1
2016-01-01 13:45:56	EN	file	File	1
2016-01-01 13:45:56	NL	file	File	1
2016-01-01 13:45:56	DE	file	Datei	1
2016-01-01 13:45:56	FR	modified	Modifié par	1
2016-01-01 13:45:56	EN	modified	Modified by	1
2016-01-01 13:45:56	NL	modified	Aangepast door	1
2016-01-01 13:45:56	DE	modified	Angepasst von	1
2016-01-01 13:45:56	FR	created	Créé par	1
2016-01-01 13:45:56	EN	created	Created by	1
2016-01-01 13:45:56	NL	created	Gemaakt door	1
2016-01-01 13:45:56	DE	created	Erstellt von	1
2016-01-01 13:45:56	FR	mail	Email	1
2016-01-01 13:45:56	EN	mail	E-mail	1
2016-01-01 13:45:56	NL	mail	EMail	1
2016-01-01 13:45:56	DE	mail	E-Mail	1
2016-01-01 13:45:56	FR	password	Mot de passe	1
2016-01-01 13:45:56	EN	password	Password	1
2016-01-01 13:45:56	NL	password	wachtwoord	1
2016-01-01 13:45:56	DE	password	Passwort	1
2016-01-01 13:45:56	FR	lang	Langue	1
2016-01-01 13:45:56	EN	lang	Language	1
2016-01-01 13:45:56	NL	lang	Taal	1
2016-01-01 13:45:56	DE	lang	Sprache	1
2016-01-01 13:45:56	FR	code	Code Barre	1
2016-01-01 13:45:56	EN	code	Barcode	1
2016-01-01 13:45:56	NL	code	Streepjescode	1
2016-01-01 13:45:56	DE	code	Strichcode	1
2016-01-01 13:45:56	FR	addgroup	Ajouter dans le groupe :	1
2016-01-01 13:45:56	EN	addgroup	Add to group :	1
2016-01-01 13:45:56	NL	addgroup	Toevoegen aan de groep :	1
2016-01-01 13:45:56	DE	addgroup	Zur Gruppe hinzufügen :	1
2016-01-01 13:45:56	FR	place	Piece	1
2016-01-01 13:45:56	EN	place	Place	1
2016-01-01 13:45:56	NL	place	Plaats	1
2016-01-01 13:45:56	DE	place	Ort	1
2016-01-01 13:45:56	FR	equipment	Equipement	1
2016-01-01 13:45:56	EN	equipment	Equipment	1
2016-01-01 13:45:56	NL	equipment	uitrusting	1
2016-01-01 13:45:56	DE	equipment	Ausrüstung	1
2016-01-01 13:45:56	FR	container	Recipient	1
2016-01-01 13:45:56	EN	container	Container	1
2016-01-01 13:45:56	NL	container	Houder	1
2016-01-01 13:45:56	DE	container	Behälter	1
2016-01-01 13:45:56	FR	measure	Mesure	1
2016-01-01 13:45:56	EN	measure	Measure	1
2016-01-01 13:45:56	NL	measure	Maatregel	1
2016-01-01 13:45:56	DE	measure	Messen	1
2016-01-01 13:45:56	FR	sensor	Senseur	1
2016-01-01 13:45:56	EN	sensor	Sensor	1
2016-01-01 13:45:56	NL	sensor	Sensor	1
2016-01-01 13:45:56	DE	sensor	Sensor	1
2016-01-01 13:45:56	FR	alarm	Alarme	1
2016-01-01 13:45:56	EN	alarm	Alarm	1
2016-01-01 13:45:56	NL	alarm	Alarm	1
2016-01-01 13:45:56	DE	alarm	Alarm	1
2016-01-01 13:45:56	FR	batch	Lot	1
2016-01-01 13:45:56	EN	batch	Batch	1
2016-01-01 13:45:56	FR	removegroup	Retirer du groupe :	1
2016-01-01 13:45:56	EN	removegroup	Remove from group :	1
2016-01-01 13:45:56	NL	removegroup	Uit de groep :	1
2016-01-01 13:45:56	DE	removegroup	Entfernen aus der Gruppe	1
2016-01-01 13:45:56	FR	createg	Creer un nouveau groupe	1
2016-01-01 13:45:56	EN	createg	Create a new group	1
2016-01-01 13:45:56	NL	createg	Maak een nieuwe groep	1
2016-01-01 13:45:56	DE	createg	Schaffe eine neue groupe	1
2016-01-01 13:45:56	FR	createu	Creer un nouvel utilisateur	1
2016-01-01 13:45:56	EN	createu	Create a new user	1
2016-01-01 13:45:56	NL	createu	Maak een nieuwe gebruiker	1
2016-01-01 13:45:56	DE	createu	Schaffe eine neue benutzer	1
2016-01-01 13:45:56	FR	createe	Creer un nouvel equipement	1
2016-01-01 13:45:56	EN	createe	Create a new equipment	1
2016-01-01 13:45:56	NL	createe	Maak een nieuwe uitrusting	1
2016-01-01 13:45:56	DE	createe	Schaffe eine neue ausrüstung	1
2016-01-01 13:45:56	FR	createp	Creer une nouvelle pièce	1
2016-01-01 13:45:56	EN	createp	Create a new place	1
2016-01-01 13:45:56	NL	createp	Maak een nieuwe plaats	1
2016-01-01 13:45:56	DE	createp	Schaffe eine neue ort	1
2016-01-01 13:45:56	FR	createc	Creer un nouveau recipient	1
2016-01-01 13:45:56	EN	createc	Create a new container	1
2016-01-01 13:45:56	NL	createc	Maak een nieuwe houder	1
2016-01-01 13:45:56	DE	createc	Schaffe eine neue Behälter	1
2016-01-01 13:45:56	FR	createm	Creer une nouvelle mesure	1
2016-01-01 13:45:56	EN	createm	Create a new measure	1
2016-01-01 13:45:56	NL	createm	Maak een nieuwe maatregel	1
2016-01-01 13:45:56	DE	createm	Schaffe eine neue messen	1
2016-01-01 13:45:56	FR	createa	Creer une nouvelle alarme	1
2016-01-01 13:45:56	EN	createa	Create a new Alarm	1
2016-01-01 13:45:56	NL	createa	Maak een nieuwe alarm	1
2016-01-01 13:45:56	DE	createa	Schaffe eine neue Alarm	1
2016-01-01 13:45:56	FR	createcpehm	Ajouter un nouveau sensor	1
2016-01-01 13:45:56	EN	createcpehm	Add a new sensor	1
2016-01-01 13:45:56	NL	createcpehm	Voeg een nieuwe sensor	1
2016-01-01 13:45:56	DE	createcpehm	Fügen Sie einen neuen Sensor	1
2016-01-01 13:45:56	FR	color	Couleur :	1
2016-01-01 13:45:56	EN	color	Color :	1
2016-01-01 13:45:56	NL	color	Kleur :	1
2016-01-01 13:45:56	DE	color	Farbe :	1
2016-01-01 13:45:56	FR	component	Composant 	1
2016-01-01 13:45:56	EN	component	Component 	1
2016-01-01 13:45:56	NL	component	Bestanddeel 	1
2016-01-01 13:45:56	DE	component	Komponente 	1
2016-01-01 13:45:56	FR	graphic	Graphique :	1
2016-01-01 13:45:56	EN	graphic	Graphic :	1
2016-01-01 13:45:56	NL	graphic	Grafisch :	1
2016-01-01 13:45:56	DE	graphic	Grafik :	1
2016-01-01 13:45:56	FR	sound	Son 	1
2016-01-01 13:45:56	EN	sound	Sound 	1
2016-01-01 13:45:56	NL	sound	Zijn 	1
2016-01-01 13:45:56	DE	sound	Seine 	1
2016-01-01 13:45:56	FR	phone	Téléphone 	1
2016-01-01 13:45:56	EN	phone	Phone 	1
2016-01-01 13:45:56	NL	phone	Telefoon 	1
2016-01-01 13:45:56	DE	phone	Telefon 	1
